Name,GuidId
4 Non Blondes,9f7a710a-17b0-4c19-8661-3aa5af70bf81
AC DC,bf16046b-6ae8-4e27-8403-b102b8140274
Aerosmith,05fa1ba9-1265-4690-9a6a-4e7d0e9ab154
Alabama Shakes,40c0bd4e-4477-47f1-b9d5-467cbd90fa2b
Alanis Morissette,b026b026-ad54-4ae0-995d-ad1131373fe4
Alice Cooper,5583f460-b6b1-48fc-b13c-5c6d66cb598c
Alice in Chains,3b960f1e-c884-404f-b166-c15f9e3f66e7
Arctic Monkeys,b795fd79-937f-4b44-a298-1c4ed22fad68
Asia,74c16f68-011a-4a0b-97b3-57cc13bee489
Audioslave,0e2a38c5-3fa1-4287-a9a2-d02c1163c89a
Bachman-Turner Overdrive,d04ad7fe-d28c-4102-b096-d4c9858ad6c6
Bad Religion,a53073e6-8733-41a9-a81c-6eedc46229bd
Badfinger,48db4b72-d1b8-49e5-a1a7-8a649e00b156
Big Brother and the Holding Company,94a9bb07-0757-4859-98c8-f8426a998374
Bill Haley and His Comets,4fd3fa72-6d38-4933-9047-49d899013942
Billy Idol,cfa0d74a-e5dc-4e7a-8a7b-7e4207935a55
Black Sabbath,210d0897-50a6-4db4-96aa-c3653fd67b0f
blink-182,346618a3-09f0-48bd-8d06-9538c6611e5f
Bliss,4e4413c1-85ef-4ea0-9d58-3e7f8792c7c4
Blondie,91036cf6-c9c3-4336-8027-ef8957aaeca1
Blue Oyster Cult,620b5edb-b514-4252-ad69-5fa99ab6e105
Bob Dylan,1b6cc9e2-be1c-40d4-bfed-f800787077c2
Bon Jovi,b04e4682-bebb-4dff-86d3-24ba0d770cf8
Boston,6da7f443-a156-436c-ab0c-ea49b295c476
Brian Setzer,e32e9550-e737-426c-8c8c-1a801f660484
Bruce Dickinson,c0d0595d-c6f1-486c-bad4-bd3a2784dc48
Bruce Springsteen,c3926239-902d-49f0-901b-a4bf9ce2397b
Chubby Checker,9234ed00-e4f3-4c9f-bb17-575c6e5c1e8b
Coldplay,05fe60e9-16a8-4ab2-8ec9-d93ab89bdadf
Collective Soul,29c24458-8c32-4284-a3d2-ea8e71503257
Concrete Blonde,73d704de-39c3-4dec-9b92-5f3342064c86
Crash Test Dummies,086a89d1-c4f8-4745-af31-b371e88e127e
Creedence Clearwater Revival,bc14587b-4e3a-4122-b786-e5e2e88ae3f2
