Name,GuidId
Alternative Rock,9a5c561f-435c-49a4-a2ae-6cf42c0cb313
Art Rock,95c9cc23-da7d-457b-9388-9c7847581c9c
Blues Rock,6c20e80a-113e-489c-bb43-adc79213897b
Funk Rock,4fd979c1-d03c-4428-b689-b82b26e57469
Glam Metal,419342b6-5c37-494a-b6f9-79ccca8914db
Glam Rock,381d2c30-fa49-4e11-b04f-730c06a1c38d
Grunge,92bbe065-b86a-42a4-8481-2f76f4617ba4
Hard Rock,8e3e6ddf-d305-4998-978e-0312875e5080
Heavy Metal,b8220be9-7d35-4ef5-b838-e8bcb620cb99
New Wave,e52bb02f-2dd8-443e-ba46-65fb693b679c
Pop Rock,7ab36f63-a798-405a-b0b5-02aaf04d4c91
Psychedelic Rock,e5573fa8-3663-454d-8fb7-fe93f4422143
Punk Rock,98b3b6f2-4682-4091-8d5d-ce503abcff1a
Rock,c0f45577-0e25-4686-a804-09ce3a88e374
Rock and Roll,2a8ba611-f4c7-4204-b6fd-efe4761b699e
Rockabilly,23e93874-a901-47a5-8ea1-325f83b7726a
Southern Rock,348d2957-6fdb-4417-8ee3-dfe11fa9c308
Surf Rock,5c9b0252-fb74-44fc-a0eb-82c1e3b1a07b
Swamp Rock,33c64cb6-31f7-41ce-961e-a300c3a82a11
Folk Rock,be9e991b-145c-48da-8bde-ef47d8c31e88
Progressive Rock,c5321845-1a18-432b-b499-e4fa6dfa34f8
