Name
A Cappella
Acoustic Rock
Alternative Metal
Alternative Rock
Arena Rock
Art Pop
Art Rock
Baroque Pop
Blues Rock
Britpop
Comedy rock
Country Rock
Dance Rock
Doom Metal
Eurodisco
Folk Rock
Funk Metal
Funk Rock
Glam Metal
Glam Rock
Grunge
Hard Rock
Heartland Rock
Heavy Metal
Indie Rock
Jangle Pop
Merseybeat
Mod
New Wave
Northern Soul
Orchestral Pop
Piano Rock
Pop Punk
Pop Reggae
Pop Rock
Post-Punk
Power Ballad
Power Metal
Power Pop
Progressive Metal
Progressive Pop
Progressive Rock
Proto Punk
Psychedelic Rock
Pub Rock
Punk Rock
Rap Metal
Rap Rock
Rock
Rock and Roll
Rockabilly
Roots Rock
Soft Rock
Southern Rock
Surf Rock
Swamp Rock
Symphonic Rock
Synth Rock
Synthpop
Thrash Metal
Worldbeat
